,1.) What's Your Gender?,2.) What Gender Are You Looking For?,3.) What are you looking for,4.) What age group are you in?,5.) Desired Age Group,6.) Life Status?,7.) Which sport do you like best?,8.) What would you rather do on a weekend?,9.) Who knows you the best?,10.) What do you do in your free time?,11.) What's your favorite use of social media?,12.) What's your astrological element sign?,13.) Preferred Height,14.) What's Your Height?,15.) Who's your celebrity crush?,16.) What is your favorite movie genre?,17.) How would you describe your friend circle?,18.) Favorite Food Cuisine,19.) How Do You Dress?,21.) What is your favorite holiday?,22.) What is your favorite soda?,23.) What would you do in the summer,24.) Looks matter,25.) What is your favorite music genre? ,26.) What's your ideal date,27.) What's your favorite Disney Movie?,28.) What do you look for in a car?,29.) What is your dream vacation spot?,30.) What is your ideal career?,31.) What trait do you find most attractive in a partner?,32.) What college stereotype did/do you fall into?,33.) What is your favorite school subject?,34.) Where do you want to live?,35.) Do you think this will work?
0,1,2,2,1,1,1,4,4,3,4,2,2,5,2,3,7,1,5,2,1,1,3,2,1,6,1,1,4,1,4,2,2,2,1
1,2,4,3,1,1,1,3,2,3,2,2,4,2,3,5,1,1,1,3,2,5,6,2,1,5,1,2,2,1,1,2,6,2,3
2,2,1,3,1,1,1,3,2,3,1,1,3,5,5,1,4,1,3,3,2,2,4,2,1,2,1,2,5,1,1,4,1,5,1
3,1,2,3,1,1,1,3,1,3,1,2,4,4,3,1,7,2,3,5,2,2,5,2,4,6,2,1,3,4,3,5,3,1,1
4,2,1,1,1,1,1,3,2,2,4,4,3,2,3,1,1,1,1,1,2,3,3,2,1,3,1,1,2,8,2,2,5,1,3
5,1,2,1,1,2,1,3,1,3,4,4,1,3,3,5,1,2,3,3,3,4,4,2,2,1,2,1,2,1,4,2,2,4,2
6,1,2,3,1,1,4,3,1,3,4,2,2,3,2,5,4,4,3,5,2,5,3,3,6,6,3,1,3,3,3,4,2,3,1
7,2,1,1,1,1,1,2,3,3,2,4,1,2,3,1,4,1,1,1,2,2,5,3,3,2,4,3,3,4,3,4,6,2,2
8,1,2,3,1,1,1,1,2,3,4,2,2,3,3,2,4,2,2,1,1,2,3,2,4,6,1,2,4,7,1,2,2,1,2
9,1,1,2,1,1,1,2,2,2,4,1,2,2,2,5,6,1,5,3,3,1,6,2,1,5,1,2,1,5,4,2,4,2,1
10,2,1,3,1,1,1,1,1,3,4,4,4,3,3,1,4,1,5,2,3,2,3,3,4,1,5,2,2,8,3,2,5,2,1
11,1,4,2,1,1,1,3,3,2,4,4,3,5,2,1,3,1,1,2,2,2,1,2,5,2,3,2,4,8,3,4,4,1,1
12,2,1,1,1,1,1,1,2,1,4,3,4,2,3,1,1,2,1,3,2,2,4,2,2,6,5,2,4,7,1,2,1,5,1
13,2,1,1,1,1,1,2,1,3,4,4,1,2,3,1,4,2,1,2,2,2,4,2,2,1,1,2,3,1,3,5,6,2,1
14,2,1,1,1,1,1,3,2,1,4,4,3,3,4,1,3,1,1,2,6,2,3,2,2,6,2,1,4,5,3,2,2,2,1
15,4,4,3,4,1,4,4,1,4,4,3,2,3,3,1,1,3,4,2,1,1,3,5,4,3,5,2,1,8,1,5,3,4,3
16,1,4,2,1,1,1,4,1,1,4,4,4,5,2,5,6,2,1,3,2,3,6,5,2,2,3,2,3,6,2,4,2,2,1
17,2,4,3,1,1,1,3,3,3,4,2,1,2,3,2,2,1,5,5,2,5,3,2,4,6,1,1,3,5,3,5,1,1,1
18,1,4,2,1,1,1,4,1,3,1,2,3,5,2,1,4,4,1,5,2,4,1,3,4,2,2,1,4,1,1,4,2,2,1
19,1,4,1,1,1,1,3,3,1,4,2,2,5,2,6,5,2,5,5,2,4,4,2,4,1,1,4,4,6,3,3,3,1,1
20,1,2,2,2,2,2,3,3,1,2,4,3,3,2,5,2,2,1,1,4,3,5,3,3,6,4,3,5,1,1,5,2,4,1
21,1,2,1,1,1,1,3,2,3,4,4,3,3,2,4,4,2,5,3,2,4,3,2,1,2,2,1,4,1,4,3,2,2,1
